Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
140,0.58,0,138,147,7,5,88.83333333333334,0,0,0,0,0,0.09000039100646973,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
141,0.6,0,138,147,6,5,72.5,0,0,0,0,0,0.09000039100646973,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
142,0.6,0,138,147,7,4,81.4,0,0,0,0,0,0.09000039100646973,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
143,0.6,0,139,148,8,7,97.0,0,0,0,1,0,0.09000039100646973,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
144,0.58,0,139,148,9,4,66.5,0,0,0,0,0,0.09100055694580078,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
145,0.56,0,139,148,8,3,75.5,0,0,0,0,0,0.09100055694580078,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
146,0.56,0,139,148,6,4,55.5,0,0,0,0,0,0.09100055694580078,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
147,0.56,0,139,148,5,3,119.75,0,0,0,0,0,0.09100055694580078,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
148,0.54,0,140,149,5,1,31.0,0,0,0,1,0,0.09100055694580078,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
149,0.54,0,140,149,14,9,84.9090909090909,0,0,0,0,0,0.09200048446655273,0.0149993896484375,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
150,0.56,0,141,150,4,3,80.66666666666667,0,0,0,1,0,0.09200048446655273,0.0149993896484375,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
151,0.58,0,141,150,6,3,90.33333333333334,0,0,0,0,0,0.09200048446655273,0.0149993896484375,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
152,0.58,0,141,150,12,4,92.2,0,0,0,0,0,0.09300065040588379,0.015999555587768555,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
